City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,dire dawa,9.5931,41.8661,20.65,77,45,0.32,ET,1699832879
126,palikir - national government center,6.9248,158.1611,29.41,79,100,1.54,FM,1699833115
127,bismarck,46.8083,-100.7837,11.91,46,0,6.69,US,1699833061
128,puerto san jose,13.9256,-90.8244,27.66,84,37,2.48,GT,1699833169
129,holualoa,19.6228,-155.9522,27.53,73,40,4.12,US,1699833169
130,salalah,17.0151,54.0924,26.05,53,0,2.06,OM,1699833170
131,bassila,9.0081,1.6654,25.2,59,36,1.38,BJ,1699833171
132,tocopilla,-22.092,-70.1979,17.67,77,14,5.22,CL,1699833172
133,mahibadhoo,3.7833,72.9667,27.66,75,86,0.36,MV,1699833172
134,taltal,-25.4,-70.4833,17.46,74,11,2.12,CL,1699833173
135,bako,5.7833,36.5667,17.15,88,34,1.7,ET,1699833174
136,douentza,14.9951,-2.9517,25.66,10,32,2.83,ML,1699833175
137,lebu,-37.6167,-73.65,9.31,66,2,7.24,CL,1699833176
138,kone,-21.0595,164.8658,27.23,43,7,5.53,NC,1699833040
139,polyarnyy,69.1989,33.4478,-10.5,98,96,3.68,RU,1699833178
140,viedma,-40.8135,-62.9967,10.7,19,1,1.95,AR,1699833179
141,coruripe,-10.1256,-36.1756,23.88,77,2,3.68,BR,1699833180
142,sechura,-5.5569,-80.8222,20.1,86,29,7.22,PE,1699833181
143,whangarei,-35.7317,174.3239,23.1,30,0,0.84,NZ,1699833182
144,bethel,41.3712,-73.414,3.17,70,0,0.0,US,1699833040
145,turpan,42.9333,89.1667,4.67,32,6,0.65,CN,1699832922
146,aasiaat,68.7098,-52.8699,-14.58,84,63,1.55,GL,1699833185
147,thinadhoo,0.5333,72.9333,26.88,75,98,0.22,MV,1699833186
148,hiratacho,35.4333,132.8167,6.01,100,75,3.6,JP,1699833187
149,alice springs,-23.7,133.8833,28.75,42,79,4.12,AU,1699833188
150,nemuro,43.3236,145.575,4.74,52,80,5.33,JP,1699833044
151,east london,-33.0153,27.9116,14.81,68,1,4.22,ZA,1699833189
152,crixas,-14.5489,-49.9692,28.1,37,6,1.56,BR,1699833190
153,kivsharivka,49.6213,37.7036,8.08,77,98,7.65,UA,1699833191
154,nogliki,51.8333,143.1667,-8.14,61,83,7.15,RU,1699833192
155,atotonilco el grande,20.2833,-98.6667,12.51,93,96,2.82,MX,1699833193
156,luba,3.4568,8.5547,25.94,83,84,3.29,GQ,1699833193
157,vilyuchinsk,52.9306,158.4028,-0.85,70,44,2.34,RU,1699832932
158,qaqortoq,60.7167,-46.0333,-7.81,87,9,0.5,GL,1699833195
159,hermanus,-34.4187,19.2345,13.17,90,0,3.48,ZA,1699833196
160,qui nhon,13.7667,109.2333,24.34,94,99,1.19,VN,1699833197
161,ola,59.5833,151.2833,-11.4,64,100,5.86,RU,1699833197
